author_id,display_name,year,journal_count,conference_count,total_outputs
https://openalex.org/A5000123324,Munyaradzi Maravanyika,2023,0,0,1
https://openalex.org/A5000123324,Munyaradzi Maravanyika,2024,1,0,1
https://openalex.org/A5000387616,Nikodemus Angula,2023,1,0,3
https://openalex.org/A5000387616,Nikodemus Angula,2024,0,0,1
https://openalex.org/A5000416527,Stanley Sebastian Cloete,2024,1,0,1
https://openalex.org/A5000842622,David Uchezuba,2025,3,0,3
https://openalex.org/A5003373721,Maliata Athon Wanga,2025,3,0,3
https://openalex.org/A5004057071,Kabiru Ishola Genty,2024,0,0,1
https://openalex.org/A5004057071,Kabiru Ishola Genty,2025,1,0,3
https://openalex.org/A5004920114,Jesaya N. Andreas,2024,0,0,1
https://openalex.org/A5006012110,Isaac Okoth Randa,2023,0,0,3
https://openalex.org/A5006012110,Isaac Okoth Randa,2024,0,0,1
https://openalex.org/A5006012110,Isaac Okoth Randa,2025,0,0,1
https://openalex.org/A5007565266,Kasonde Maweja,2023,2,0,3
https://openalex.org/A5009456042,Ben J. Strohbach,2023,1,0,1
https://openalex.org/A5009456042,Ben J. Strohbach,2024,2,0,2
https://openalex.org/A5009488876,Jennyphar Kavikairiua,2023,0,0,2
https://openalex.org/A5010099202,Niklaas Johannes Fredericks,2023,1,0,1
https://openalex.org/A5010099202,Niklaas Johannes Fredericks,2025,1,0,1
https://openalex.org/A5010165531,Tiko Iyamu,2023,0,0,1
https://openalex.org/A5010165531,Tiko Iyamu,2025,1,0,1
https://openalex.org/A5010328825,Gabriel Tuhafeni Nhinda,2023,0,0,1
https://openalex.org/A5010328825,Gabriel Tuhafeni Nhinda,2024,0,0,1
https://openalex.org/A5010328825,Gabriel Tuhafeni Nhinda,2025,1,0,1
https://openalex.org/A5011989882,Michael Neema,2024,2,0,2
https://openalex.org/A5012911404,Maxwell Chufama,2023,0,0,1
https://openalex.org/A5012911404,Maxwell Chufama,2024,1,0,1
https://openalex.org/A5012959041,Marsela Nur Rita,2023,0,0,2
https://openalex.org/A5012959041,Marsela Nur Rita,2024,0,0,1
https://openalex.org/A5013344119,Leena Naftal,2024,1,0,1
https://openalex.org/A5013344119,Leena Naftal,2025,1,0,1
https://openalex.org/A5014096357,Donovan Maasz,2023,0,0,1
https://openalex.org/A5014096357,Donovan Maasz,2024,0,0,3
https://openalex.org/A5014096357,Donovan Maasz,2025,0,0,2
https://openalex.org/A5014968747,Simon Chiutsi,2025,1,0,1
https://openalex.org/A5015012997,Martin Mabeifam Ujakpa,2023,1,0,1
https://openalex.org/A5015012997,Martin Mabeifam Ujakpa,2025,1,0,1
https://openalex.org/A5016152318,Menare Royal Mabakeng,2025,0,0,1
https://openalex.org/A5017129745,Bogdan Cristescu,2023,2,0,2
https://openalex.org/A5017129745,Bogdan Cristescu,2024,6,0,6
https://openalex.org/A5017129745,Bogdan Cristescu,2025,5,0,5
https://openalex.org/A5017422722,Ofentse Moseki,2025,1,0,1
